"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-21 19:56:51",1763755011528,"invoice-automation-two.vercel.app/customers","GET","",-1,"t5w44-1763755011448-8fee141d32a2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","error","production","master","","lambda","/app.py","invoice-automation-two.vercel.app","invoice-automation-two.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",-1,"iad1",-1,-1,"Exception on /customers [GET]
Traceback (most recent call last):
  File ""/var/task/_vendor/sqlalchemy/engine/base.py"", line 143, in __init__
    self._dbapi_connection = engine.raw_connection()
                             ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/base.py"", line 3301, in raw_connection
    return self.pool.connect()
           ^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 447, in connect
    return _ConnectionFairy._checkout(self)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 1264, in _checkout
    fairy = _ConnectionRecord.checkout(pool)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 711, in checkout
    rec = pool._do_get()
          ^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/impl.py"", line 177, in _do_get
    with util.safe_reraise():
         ^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/util/langhelpers.py"", line 224, in __exit__
    raise exc_value.with_traceback(exc_tb)
  File ""/var/task/_vendor/sqlalchemy/pool/impl.py"", line 175, in _do_get
    return self._create_connection()
           ^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 388, in _create_connection
    return _ConnectionRecord(self)
           ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 673, in __init__
    self.__connect()
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 899, in __connect
    with util.safe_reraise():
         ^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/util/langhelpers.py"", line 224, in __exit__
    raise exc_value.with_traceback(exc_tb)
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 895, in __connect
    self.dbapi_connection = connection = pool._invoke_creator(self)
                                         ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/create.py"", line 661, in connect
    return dialect.connect(*cargs, **cparams)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/default.py"", line 629, in connect
    return self.loaded_dbapi.connect(*cargs, **cparams)  # type: ignore[no-any-return]  # NOQA: E501
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
sqlite3.OperationalError: unable to open database file

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""/var/task/_vendor/flask/app.py"", line 1511, in wsgi_app
    response = self.full_dispatch_request()
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/flask/app.py"", line 919, in full_dispatch_request
    rv = self.handle_user_exception(e)
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/flask/app.py"", line 917, in full_dispatch_request
    rv = self.dispatch_request()
         ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/flask/app.py"", line 902, in dispatch_request
    return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)  # type: ignore[no-any-return]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/app.py"", line 59, in list_customers
    customers = session.query(Customer).all()
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/orm/query.py"", line 2704, in all
    return self._iter().all()  # type: ignore
           ^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/orm/query.py"", line 2857, in _iter
    result: Union[ScalarResult[_T], Result[_T]] = self.session.execute(
                                                  ^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/orm/session.py"", line 2351, in execute
    return self._execute_internal(
           ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/orm/session.py"", line 2239, in _execute_internal
    conn = self._connection_for_bind(bind)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/orm/session.py"", line 2108, in _connection_for_bind
    return trans._connection_for_bind(engine, execution_options)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<string>"", line 2, in _connection_for_bind
  File ""/var/task/_vendor/sqlalchemy/orm/state_changes.py"", line 137, in _go
    ret_value = fn(self, *arg, **kw)
                ^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/orm/session.py"", line 1187, in _connection_for_bind
    conn = bind.connect()
           ^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/base.py"", line 3277, in connect
    return self._connection_cls(self)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/base.py"", line 145, in __init__
    Connection._handle_dbapi_exception_noconnection(
  File ""/var/task/_vendor/sqlalchemy/engine/base.py"", line 2440, in _handle_dbapi_exception_noconnection
    raise sqlalchemy_exception.with_traceback(exc_info[2]) from e
  File ""/var/task/_vendor/sqlalchemy/engine/base.py"", line 143, in __init__
    self._dbapi_connection = engine.raw_connection()
                             ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/base.py"", line 3301, in raw_connection
    return self.pool.connect()
           ^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 447, in connect
    return _ConnectionFairy._checkout(self)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 1264, in _checkout
    fairy = _ConnectionRecord.checkout(pool)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 711, in checkout
    rec = pool._do_get()
          ^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/impl.py"", line 177, in _do_get
    with util.safe_reraise():
         ^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/util/langhelpers.py"", line 224, in __exit__
    raise exc_value.with_traceback(exc_tb)
  File ""/var/task/_vendor/sqlalchemy/pool/impl.py"", line 175, in _do_get
    return self._create_connection()
           ^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 388, in _create_connection
    return _ConnectionRecord(self)
           ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 673, in __init__
    self.__connect()
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 899, in __connect
    with util.safe_reraise():
         ^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/util/langhelpers.py"", line 224, in __exit__
    raise exc_value.with_traceback(exc_tb)
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 895, in __connect
    self.dbapi_connection = connection = pool._invoke_creator(self)
                                         ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/create.py"", line 661, in connect
    return dialect.connect(*cargs, **cparams)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/default.py"", line 629, in connect
    return self.loaded_dbapi.connect(*cargs, **cparams)  # type: ignore[no-any-return]  # NOQA: E501
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
sqlalchemy.exc.OperationalError: (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZVBDGET6NBTPK5DVYQRWX","",-1
"2025-11-21 19:56:51",1763755011504,"invoice-automation-two.vercel.app/customers","GET","",500,"t5w44-1763755011448-8fee141d32a2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","error","production","master","","lambda","/app.py","invoice-automation-two.vercel.app","invoice-automation-two.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",8,"iad1",116,2048,"","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZVBDGET6NBTPK5DVYQRWX","obJe9whzMjlL",1
"2025-11-21 19:56:51",1763755011303,"invoice-automation-two.vercel.app/","GET","",-1,"grttc-1763755011267-79497b89ec3d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","info","production","master","","lambda","/app.py","invoice-automation-two.vercel.app","invoice-automation-two.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",-1,"iad1",-1,-1,"127.0.0.1 - - [21/Nov/2025 19:56:51] ""GET / HTTP/1.1"" 302 -","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZVB6KMR4JZWD5JEBN33C0","",-1
"2025-11-21 19:56:51",1763755011283,"invoice-automation-two.vercel.app/","GET","",302,"grttc-1763755011267-79497b89ec3d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36","info","production","master","","lambda","/app.py","invoice-automation-two.vercel.app","invoice-automation-two.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",5,"iad1",116,2048,"","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZVB6KMR4JZWD5JEBN33C0","obJe9whzMjlL",1
"2025-11-21 19:56:48",1763755008529,"invoice-automation-two.vercel.app/favicon.ico","GET","",-1,"fv7dh-1763755008446-7ef9e47ebaac","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","info","production","master","","lambda","/app.py","invoice-automation-two.vercel.app","invoice-automation-two.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",-1,"iad1",-1,-1,"127.0.0.1 - - [21/Nov/2025 19:56:48] ""GET /favicon.ico HTTP/1.1"" 404 -","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZV8FT6GB1H9NXV0TVDDZG","",-1
"2025-11-21 19:56:48",1763755008506,"invoice-automation-two.vercel.app/favicon.ico","GET","",404,"fv7dh-1763755008446-7ef9e47ebaac","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","warning","production","master","","lambda","/app.py","invoice-automation-two.vercel.app","invoice-automation-two.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",7,"iad1",116,2048,"","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZV8FT6GB1H9NXV0TVDDZG","obJe9whzMjlL",1
"2025-11-21 19:56:47",1763755007739,"invoice-automation-two.vercel.app/customers","GET","",-1,"xh4rs-1763755007619-5053bdb52395","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","info","production","master","","lambda","/app.py","invoice-automation-two.vercel.app","invoice-automation-two.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",-1,"iad1",-1,-1,"127.0.0.1 - - [21/Nov/2025 19:56:47] ""GET /customers HTTP/1.1"" 500 -","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZV7QASKR7ZWMVQ1PXAQW8","",-1
"2025-11-21 19:56:47",1763755007739,"invoice-automation-two.vercel.app/customers","GET","",-1,"xh4rs-1763755007619-5053bdb52395","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","error","production","master","","lambda","/app.py","invoice-automation-two.vercel.app","invoice-automation-two.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",-1,"iad1",-1,-1,"Exception on /customers [GET]
Traceback (most recent call last):
  File ""/var/task/_vendor/sqlalchemy/engine/base.py"", line 143, in __init__
    self._dbapi_connection = engine.raw_connection()
                             ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/base.py"", line 3301, in raw_connection
    return self.pool.connect()
           ^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 447, in connect
    return _ConnectionFairy._checkout(self)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 1264, in _checkout
    fairy = _ConnectionRecord.checkout(pool)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 711, in checkout
    rec = pool._do_get()
          ^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/impl.py"", line 177, in _do_get
    with util.safe_reraise():
         ^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/util/langhelpers.py"", line 224, in __exit__
    raise exc_value.with_traceback(exc_tb)
  File ""/var/task/_vendor/sqlalchemy/pool/impl.py"", line 175, in _do_get
    return self._create_connection()
           ^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 388, in _create_connection
    return _ConnectionRecord(self)
           ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 673, in __init__
    self.__connect()
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 899, in __connect
    with util.safe_reraise():
         ^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/util/langhelpers.py"", line 224, in __exit__
    raise exc_value.with_traceback(exc_tb)
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 895, in __connect
    self.dbapi_connection = connection = pool._invoke_creator(self)
                                         ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/create.py"", line 661, in connect
    return dialect.connect(*cargs, **cparams)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/default.py"", line 629, in connect
    return self.loaded_dbapi.connect(*cargs, **cparams)  # type: ignore[no-any-return]  # NOQA: E501
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
sqlite3.OperationalError: unable to open database file

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""/var/task/_vendor/flask/app.py"", line 1511, in wsgi_app
    response = self.full_dispatch_request()
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/flask/app.py"", line 919, in full_dispatch_request
    rv = self.handle_user_exception(e)
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/flask/app.py"", line 917, in full_dispatch_request
    rv = self.dispatch_request()
         ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/flask/app.py"", line 902, in dispatch_request
    return self.ensure_sync(self.view_functions[rule.endpoint])(**view_args)  # type: ignore[no-any-return]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/app.py"", line 59, in list_customers
    customers = session.query(Customer).all()
                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/orm/query.py"", line 2704, in all
    return self._iter().all()  # type: ignore
           ^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/orm/query.py"", line 2857, in _iter
    result: Union[ScalarResult[_T], Result[_T]] = self.session.execute(
                                                  ^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/orm/session.py"", line 2351, in execute
    return self._execute_internal(
           ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/orm/session.py"", line 2239, in _execute_internal
    conn = self._connection_for_bind(bind)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/orm/session.py"", line 2108, in _connection_for_bind
    return trans._connection_for_bind(engine, execution_options)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""<string>"", line 2, in _connection_for_bind
  File ""/var/task/_vendor/sqlalchemy/orm/state_changes.py"", line 137, in _go
    ret_value = fn(self, *arg, **kw)
                ^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/orm/session.py"", line 1187, in _connection_for_bind
    conn = bind.connect()
           ^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/base.py"", line 3277, in connect
    return self._connection_cls(self)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/base.py"", line 145, in __init__
    Connection._handle_dbapi_exception_noconnection(
  File ""/var/task/_vendor/sqlalchemy/engine/base.py"", line 2440, in _handle_dbapi_exception_noconnection
    raise sqlalchemy_exception.with_traceback(exc_info[2]) from e
  File ""/var/task/_vendor/sqlalchemy/engine/base.py"", line 143, in __init__
    self._dbapi_connection = engine.raw_connection()
                             ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/base.py"", line 3301, in raw_connection
    return self.pool.connect()
           ^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 447, in connect
    return _ConnectionFairy._checkout(self)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 1264, in _checkout
    fairy = _ConnectionRecord.checkout(pool)
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 711, in checkout
    rec = pool._do_get()
          ^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/impl.py"", line 177, in _do_get
    with util.safe_reraise():
         ^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/util/langhelpers.py"", line 224, in __exit__
    raise exc_value.with_traceback(exc_tb)
  File ""/var/task/_vendor/sqlalchemy/pool/impl.py"", line 175, in _do_get
    return self._create_connection()
           ^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 388, in _create_connection
    return _ConnectionRecord(self)
           ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 673, in __init__
    self.__connect()
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 899, in __connect
    with util.safe_reraise():
         ^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/util/langhelpers.py"", line 224, in __exit__
    raise exc_value.with_traceback(exc_tb)
  File ""/var/task/_vendor/sqlalchemy/pool/base.py"", line 895, in __connect
    self.dbapi_connection = connection = pool._invoke_creator(self)
                                         ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/create.py"", line 661, in connect
    return dialect.connect(*cargs, **cparams)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/var/task/_vendor/sqlalchemy/engine/default.py"", line 629, in connect
    return self.loaded_dbapi.connect(*cargs, **cparams)  # type: ignore[no-any-return]  # NOQA: E501
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
sqlalchemy.exc.OperationalError: (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZV7QASKR7ZWMVQ1PXAQW8","",-1
"2025-11-21 19:56:47",1763755007722,"invoice-automation-two.vercel.app/customers","GET","",500,"xh4rs-1763755007619-5053bdb52395","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","error","production","master","","lambda","/app.py","invoice-automation-two.vercel.app","invoice-automation-two.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",9,"iad1",116,2048,"","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZV7QASKR7ZWMVQ1PXAQW8","obJe9whzMjlL",1
"2025-11-21 19:56:47",1763755007556,"invoice-automation-two.vercel.app/","GET","",-1,"wdf2f-1763755007397-b1d240f0e307","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","info","production","master","","lambda","/app.py","invoice-automation-two.vercel.app","invoice-automation-two.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",-1,"iad1",-1,-1,"127.0.0.1 - - [21/Nov/2025 19:56:47] ""GET / HTTP/1.1"" 302 -","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZV7H84Z5DY2NJ621EAQSY","",-1
"2025-11-21 19:56:47",1763755007528,"invoice-automation-two.vercel.app/","GET","",302,"wdf2f-1763755007397-b1d240f0e307","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","info","production","master","","lambda","/app.py","invoice-automation-two.vercel.app","invoice-automation-two.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",9,"iad1",116,2048,"","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZV7H84Z5DY2NJ621EAQSY","obJe9whzMjlL",1
"2025-11-21 19:51:34",1763754694169,"invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app/favicon.png","GET","",-1,"q6bn5-1763754694114-caac2cddc2d3","vercel-favicon/1.0","info","production","master","","lambda","/app.py","invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app","invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",-1,"iad1",-1,-1,"127.0.0.1 - - [21/Nov/2025 19:51:34] ""GET /favicon.png HTTP/1.1"" 404 -","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZHNG8T3M8WDXWWNB61JMB","",-1
"2025-11-21 19:51:34",1763754694152,"invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app/favicon.png","GET","",404,"q6bn5-1763754694114-caac2cddc2d3","vercel-favicon/1.0","warning","production","master","","lambda","/app.py","invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app","invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",5,"iad1",114,2048,"","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZHNG8T3M8WDXWWNB61JMB","8cPgqDU1Ap87",1
"2025-11-21 19:51:34",1763754694077,"invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app/favicon.ico","GET","",-1,"q6bn5-1763754694003-1dbaefdfc941","vercel-favicon/1.0","info","production","master","","lambda","/app.py","invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app","invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",-1,"iad1",-1,-1,"127.0.0.1 - - [21/Nov/2025 19:51:34] ""GET /favicon.ico HTTP/1.1"" 404 -","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZHNDEWY1CRF3ACCDH5Z9X","",-1
"2025-11-21 19:51:34",1763754694062,"invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app/favicon.ico","GET","",404,"q6bn5-1763754694003-1dbaefdfc941","vercel-favicon/1.0","warning","production","master","","lambda","/app.py","invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app","invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",5,"iad1",114,2048,"","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZHNDEWY1CRF3ACCDH5Z9X","8cPgqDU1Ap87",1
"2025-11-21 19:51:33",1763754693876,"invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app/customers","GET","",-1,"mpnqh-1763754693818-e3c3839f47bf","vercel-favicon/1.0","info","production","master","","lambda","/app.py","invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app","invoice-automation-owbp4dxq9-ryans-projects-d8bd1793.vercel.app","dpl_GEBKqAskmvWBL2zjfpPFhVdkNcL2",-1,"iad1",-1,-1,"127.0.0.1 - - [21/Nov/2025 19:51:33] ""GET /customers HTTP/1.1"" 500 -","prj_6WEqp459cGSZsQkBcLxcy0EVnF2f","","","01KAKZHN74D8Q1P8E9C0XT3CWK","",-1
